esportes;facil;Qual o principal esporte praticado por Michael Jordan?;Basquete;Futebol;Beisebol;a;50
esportes;facil;Qual o objeto principal usado para jogar tenis?;Taco;Raquete;Bastao;b;50
esportes;facil;Qual o esporte praticado em uma piscina?;Atletismo;Ciclismo;Natacao;c;50
esportes;facil;Qual e o tempo regulamentar de uma partida de futebol?;90 minutos;60 minutos;120 minutos;a;50
esportes;facil;Qual pais e mundialmente famoso por seu futebol e por ter vencido 5 Copas do Mundo?;Argentina;Brasil;Alemanha;b;50
esportes;medio;No futebol, o que um cartao amarelo significa?;Advertencia;Expulsao;Substituicao;a;75
esportes;medio;Quantos pontos vale um 'touchdown' no futebol americano?;3;6;7;b;75
esportes;medio;Em qual pais foi realizada a primeira Copa do Mundo da FIFA em 1930?;Italia;Brasil;Uruguai;c;75
esportes;medio;Qual atleta e conhecido mundialmente como 'O Rei do Futebol'?;Maradona;Messi;Pele;c;75
esportes;medio;Em que esporte um 'strike' e uma jogada excelente?;Beisebol;Boliche;Golfe;b;75
esportes;dificil;Nas lutas de boxe profissionais valendo titulo mundial, qual o numero padrao de rounds?;10;12;15;b;100
esportes;dificil;Em qual cidade foram realizados os primeiros Jogos Olimpicos da era moderna em 1896?;Paris;Londres;Atenas;c;100
esportes;dificil;No basquete, qual o nome da infracao cometida por um jogador que permanece mais de 3 segundos na area restrita do adversario?;Infracao de 3 segundos;Andar;Dois dribles;a;100
esportes;dificil;No futebol, como e chamado o feito de um jogador que marca 3 gols na mesma partida?;Triple-double;Hat-trick;Grand Slam;b;100
esportes;dificil;Qual a pontuacao maxima que pode ser alcancada em um unico 'frame' (rodada) de boliche?;12;10;30;c;100
